"ticker","year","company_name","expected_fs_pdf","source_hint"
"KBLV","2024","First Media Tbk",".\data\raw\KBLV_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"KBLV","2025","First Media Tbk",".\data\raw\KBLV_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"CENT","2019","Centratama Telekomunikasi Indonesia Tbk",".\data\raw\CENT_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"CENT","2020","Centratama Telekomunikasi Indonesia Tbk",".\data\raw\CENT_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"CENT","2021","Centratama Telekomunikasi Indonesia Tbk",".\data\raw\CENT_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"CENT","2022","Centratama Telekomunikasi Indonesia Tbk",".\data\raw\CENT_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"CENT","2023","Centratama Telekomunikasi Indonesia Tbk",".\data\raw\CENT_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"CENT","2024","Centratama Telekomunikasi Indonesia Tbk",".\data\raw\CENT_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"CENT","2025","Centratama Telekomunikasi Indonesia Tbk",".\data\raw\CENT_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"EXCL","2019","XL Axiata Tbk",".\data\raw\EXCL_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"EXCL","2020","XL Axiata Tbk",".\data\raw\EXCL_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"EXCL","2021","XL Axiata Tbk",".\data\raw\EXCL_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"EXCL","2022","XL Axiata Tbk",".\data\raw\EXCL_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"EXCL","2023","XL Axiata Tbk",".\data\raw\EXCL_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"EXCL","2024","XL Axiata Tbk",".\data\raw\EXCL_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"EXCL","2025","XL Axiata Tbk",".\data\raw\EXCL_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"BTEL","2019","Bakrie Telecom Tbk",".\data\raw\BTEL_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"BTEL","2020","Bakrie Telecom Tbk",".\data\raw\BTEL_2020_FS.pdf","IDX Listed Companies > Financial Statements"
