"firm_id","ticker","company_name","year","fs_pdf_path","ar_pdf_path","price_csv_path","fs_downloaded","ar_downloaded","price_downloaded","extraction_done","notes"
"ISAT","ISAT","Indosat Tbk","2023",".\data\raw\ISAT_2023_FS.pdf",".\data\annual_reports\ISAT_2023_AR.pdf",".\data\prices\prices_ISAT.JK.csv","0","0","0","",""
"ISAT","ISAT","Indosat Tbk","2024",".\data\raw\ISAT_2024_FS.pdf",".\data\annual_reports\ISAT_2024_AR.pdf",".\data\prices\prices_ISAT.JK.csv","0","0","0","",""
"ISAT","ISAT","Indosat Tbk","2025",".\data\raw\ISAT_2025_FS.pdf",".\data\annual_reports\ISAT_2025_AR.pdf",".\data\prices\prices_ISAT.JK.csv","0","0","0","",""
"TLKM","TLKM","Telkom Indonesia (Persero) Tbk","2019",".\data\raw\TLKM_2019_FS.pdf",".\data\annual_reports\TLKM_2019_AR.pdf",".\data\prices\prices_TLKM.JK.csv","0","0","0","",""
"TLKM","TLKM","Telkom Indonesia (Persero) Tbk","2020",".\data\raw\TLKM_2020_FS.pdf",".\data\annual_reports\TLKM_2020_AR.pdf",".\data\prices\prices_TLKM.JK.csv","0","0","0","",""
"TLKM","TLKM","Telkom Indonesia (Persero) Tbk","2021",".\data\raw\TLKM_2021_FS.pdf",".\data\annual_reports\TLKM_2021_AR.pdf",".\data\prices\prices_TLKM.JK.csv","0","0","0","",""
"TLKM","TLKM","Telkom Indonesia (Persero) Tbk","2022",".\data\raw\TLKM_2022_FS.pdf",".\data\annual_reports\TLKM_2022_AR.pdf",".\data\prices\prices_TLKM.JK.csv","0","0","0","",""
"TLKM","TLKM","Telkom Indonesia (Persero) Tbk","2023",".\data\raw\TLKM_2023_FS.pdf",".\data\annual_reports\TLKM_2023_AR.pdf",".\data\prices\prices_TLKM.JK.csv","0","0","0","",""
"TLKM","TLKM","Telkom Indonesia (Persero) Tbk","2024",".\data\raw\TLKM_2024_FS.pdf",".\data\annual_reports\TLKM_2024_AR.pdf",".\data\prices\prices_TLKM.JK.csv","0","0","0","",""
"TLKM","TLKM","Telkom Indonesia (Persero) Tbk","2025",".\data\raw\TLKM_2025_FS.pdf",".\data\annual_reports\TLKM_2025_AR.pdf",".\data\prices\prices_TLKM.JK.csv","0","0","0","",""
"KBLV","KBLV","First Media Tbk","2019",".\data\raw\KBLV_2019_FS.pdf",".\data\annual_reports\KBLV_2019_AR.pdf",".\data\prices\prices_KBLV.JK.csv","0","0","0","",""
"KBLV","KBLV","First Media Tbk","2020",".\data\raw\KBLV_2020_FS.pdf",".\data\annual_reports\KBLV_2020_AR.pdf",".\data\prices\prices_KBLV.JK.csv","0","0","0","",""
"KBLV","KBLV","First Media Tbk","2021",".\data\raw\KBLV_2021_FS.pdf",".\data\annual_reports\KBLV_2021_AR.pdf",".\data\prices\prices_KBLV.JK.csv","0","0","0","",""
"KBLV","KBLV","First Media Tbk","2022",".\data\raw\KBLV_2022_FS.pdf",".\data\annual_reports\KBLV_2022_AR.pdf",".\data\prices\prices_KBLV.JK.csv","0","0","0","",""
