"ticker","year","company_name","expected_price_csv","yahoo_symbol","source_hint"
"IBST","2023","Inti Bangun Sejahtera Tbk",".\data\prices\prices_IBST.JK.csv","IBST.JK","Yahoo Finance / IDX price history"
"IBST","2024","Inti Bangun Sejahtera Tbk",".\data\prices\prices_IBST.JK.csv","IBST.JK","Yahoo Finance / IDX price history"
"IBST","2025","Inti Bangun Sejahtera Tbk",".\data\prices\prices_IBST.JK.csv","IBST.JK","Yahoo Finance / IDX price history"
"BALI","2019","Bali Towerindo Sentra Tbk",".\data\prices\prices_BALI.JK.csv","BALI.JK","Yahoo Finance / IDX price history"
"BALI","2020","Bali Towerindo Sentra Tbk",".\data\prices\prices_BALI.JK.csv","BALI.JK","Yahoo Finance / IDX price history"
"BALI","2021","Bali Towerindo Sentra Tbk",".\data\prices\prices_BALI.JK.csv","BALI.JK","Yahoo Finance / IDX price history"
"BALI","2022","Bali Towerindo Sentra Tbk",".\data\prices\prices_BALI.JK.csv","BALI.JK","Yahoo Finance / IDX price history"
"BALI","2023","Bali Towerindo Sentra Tbk",".\data\prices\prices_BALI.JK.csv","BALI.JK","Yahoo Finance / IDX price history"
"BALI","2024","Bali Towerindo Sentra Tbk",".\data\prices\prices_BALI.JK.csv","BALI.JK","Yahoo Finance / IDX price history"
"BALI","2025","Bali Towerindo Sentra Tbk",".\data\prices\prices_BALI.JK.csv","BALI.JK","Yahoo Finance / IDX price history"
"LINK","2019","Link Net Tbk",".\data\prices\prices_LINK.JK.csv","LINK.JK","Yahoo Finance / IDX price history"
"LINK","2020","Link Net Tbk",".\data\prices\prices_LINK.JK.csv","LINK.JK","Yahoo Finance / IDX price history"
"LINK","2021","Link Net Tbk",".\data\prices\prices_LINK.JK.csv","LINK.JK","Yahoo Finance / IDX price history"
"LINK","2022","Link Net Tbk",".\data\prices\prices_LINK.JK.csv","LINK.JK","Yahoo Finance / IDX price history"
"LINK","2023","Link Net Tbk",".\data\prices\prices_LINK.JK.csv","LINK.JK","Yahoo Finance / IDX price history"
"LINK","2024","Link Net Tbk",".\data\prices\prices_LINK.JK.csv","LINK.JK","Yahoo Finance / IDX price history"
"LINK","2025","Link Net Tbk",".\data\prices\prices_LINK.JK.csv","LINK.JK","Yahoo Finance / IDX price history"
"OASA","2019","Maharaksa Biru Energi Tbk",".\data\prices\prices_OASA.JK.csv","OASA.JK","Yahoo Finance / IDX price history"
"OASA","2020","Maharaksa Biru Energi Tbk",".\data\prices\prices_OASA.JK.csv","OASA.JK","Yahoo Finance / IDX price history"
"OASA","2021","Maharaksa Biru Energi Tbk",".\data\prices\prices_OASA.JK.csv","OASA.JK","Yahoo Finance / IDX price history"
"OASA","2022","Maharaksa Biru Energi Tbk",".\data\prices\prices_OASA.JK.csv","OASA.JK","Yahoo Finance / IDX price history"
"OASA","2023","Maharaksa Biru Energi Tbk",".\data\prices\prices_OASA.JK.csv","OASA.JK","Yahoo Finance / IDX price history"
"OASA","2024","Maharaksa Biru Energi Tbk",".\data\prices\prices_OASA.JK.csv","OASA.JK","Yahoo Finance / IDX price history"
"OASA","2025","Maharaksa Biru Energi Tbk",".\data\prices\prices_OASA.JK.csv","OASA.JK","Yahoo Finance / IDX price history"
"LCKM","2019","LCK Global Kedaton Tbk",".\data\prices\prices_LCKM.JK.csv","LCKM.JK","Yahoo Finance / IDX price history"
