"ticker","year","company_name","expected_ar_pdf","source_hint"
"IBST","2022","Inti Bangun Sejahtera Tbk",".\data\annual_reports\IBST_2022_AR.pdf","IDX / Company website > Annual Report"
"IBST","2023","Inti Bangun Sejahtera Tbk",".\data\annual_reports\IBST_2023_AR.pdf","IDX / Company website > Annual Report"
"IBST","2024","Inti Bangun Sejahtera Tbk",".\data\annual_reports\IBST_2024_AR.pdf","IDX / Company website > Annual Report"
"IBST","2025","Inti Bangun Sejahtera Tbk",".\data\annual_reports\IBST_2025_AR.pdf","IDX / Company website > Annual Report"
"BALI","2019","Bali Towerindo Sentra Tbk",".\data\annual_reports\BALI_2019_AR.pdf","IDX / Company website > Annual Report"
"BALI","2020","Bali Towerindo Sentra Tbk",".\data\annual_reports\BALI_2020_AR.pdf","IDX / Company website > Annual Report"
"BALI","2021","Bali Towerindo Sentra Tbk",".\data\annual_reports\BALI_2021_AR.pdf","IDX / Company website > Annual Report"
"BALI","2022","Bali Towerindo Sentra Tbk",".\data\annual_reports\BALI_2022_AR.pdf","IDX / Company website > Annual Report"
"BALI","2023","Bali Towerindo Sentra Tbk",".\data\annual_reports\BALI_2023_AR.pdf","IDX / Company website > Annual Report"
"BALI","2024","Bali Towerindo Sentra Tbk",".\data\annual_reports\BALI_2024_AR.pdf","IDX / Company website > Annual Report"
"BALI","2025","Bali Towerindo Sentra Tbk",".\data\annual_reports\BALI_2025_AR.pdf","IDX / Company website > Annual Report"
"LINK","2019","Link Net Tbk",".\data\annual_reports\LINK_2019_AR.pdf","IDX / Company website > Annual Report"
"LINK","2020","Link Net Tbk",".\data\annual_reports\LINK_2020_AR.pdf","IDX / Company website > Annual Report"
"LINK","2021","Link Net Tbk",".\data\annual_reports\LINK_2021_AR.pdf","IDX / Company website > Annual Report"
"LINK","2022","Link Net Tbk",".\data\annual_reports\LINK_2022_AR.pdf","IDX / Company website > Annual Report"
"LINK","2023","Link Net Tbk",".\data\annual_reports\LINK_2023_AR.pdf","IDX / Company website > Annual Report"
"LINK","2024","Link Net Tbk",".\data\annual_reports\LINK_2024_AR.pdf","IDX / Company website > Annual Report"
"LINK","2025","Link Net Tbk",".\data\annual_reports\LINK_2025_AR.pdf","IDX / Company website > Annual Report"
"OASA","2019","Maharaksa Biru Energi Tbk",".\data\annual_reports\OASA_2019_AR.pdf","IDX / Company website > Annual Report"
"OASA","2020","Maharaksa Biru Energi Tbk",".\data\annual_reports\OASA_2020_AR.pdf","IDX / Company website > Annual Report"
"OASA","2021","Maharaksa Biru Energi Tbk",".\data\annual_reports\OASA_2021_AR.pdf","IDX / Company website > Annual Report"
"OASA","2022","Maharaksa Biru Energi Tbk",".\data\annual_reports\OASA_2022_AR.pdf","IDX / Company website > Annual Report"
"OASA","2023","Maharaksa Biru Energi Tbk",".\data\annual_reports\OASA_2023_AR.pdf","IDX / Company website > Annual Report"
"OASA","2024","Maharaksa Biru Energi Tbk",".\data\annual_reports\OASA_2024_AR.pdf","IDX / Company website > Annual Report"
"OASA","2025","Maharaksa Biru Energi Tbk",".\data\annual_reports\OASA_2025_AR.pdf","IDX / Company website > Annual Report"
"LCKM","2019","LCK Global Kedaton Tbk",".\data\annual_reports\LCKM_2019_AR.pdf","IDX / Company website > Annual Report"
"LCKM","2020","LCK Global Kedaton Tbk",".\data\annual_reports\LCKM_2020_AR.pdf","IDX / Company website > Annual Report"
"LCKM","2021","LCK Global Kedaton Tbk",".\data\annual_reports\LCKM_2021_AR.pdf","IDX / Company website > Annual Report"
"LCKM","2022","LCK Global Kedaton Tbk",".\data\annual_reports\LCKM_2022_AR.pdf","IDX / Company website > Annual Report"
"LCKM","2023","LCK Global Kedaton Tbk",".\data\annual_reports\LCKM_2023_AR.pdf","IDX / Company website > Annual Report"
"LCKM","2024","LCK Global Kedaton Tbk",".\data\annual_reports\LCKM_2024_AR.pdf","IDX / Company website > Annual Report"
"LCKM","2025","LCK Global Kedaton Tbk",".\data\annual_reports\LCKM_2025_AR.pdf","IDX / Company website > Annual Report"
"GHON","2019","Gihon Telekomunikasi Indonesia Tbk",".\data\annual_reports\GHON_2019_AR.pdf","IDX / Company website > Annual Report"
"GHON","2020","Gihon Telekomunikasi Indonesia Tbk",".\data\annual_reports\GHON_2020_AR.pdf","IDX / Company website > Annual Report"
"GHON","2021","Gihon Telekomunikasi Indonesia Tbk",".\data\annual_reports\GHON_2021_AR.pdf","IDX / Company website > Annual Report"
"GHON","2022","Gihon Telekomunikasi Indonesia Tbk",".\data\annual_reports\GHON_2022_AR.pdf","IDX / Company website > Annual Report"
"GHON","2023","Gihon Telekomunikasi Indonesia Tbk",".\data\annual_reports\GHON_2023_AR.pdf","IDX / Company website > Annual Report"
"GHON","2024","Gihon Telekomunikasi Indonesia Tbk",".\data\annual_reports\GHON_2024_AR.pdf","IDX / Company website > Annual Report"
"GHON","2025","Gihon Telekomunikasi Indonesia Tbk",".\data\annual_reports\GHON_2025_AR.pdf","IDX / Company website > Annual Report"
